sample,m_r_cv,m_gmax,m_V,m_nzero,s_r_cv,s_gmax,s_V,s_nzero,m_lit_r_cv,m_lit_gmax,s_lit_r_cv,s_lit_gmax
558,3.266451712913944,78.83287719038394,0.5390495337106291,2,2.7996293393531864,101.21367654484897,0.6893327570967245,2,4.426710460314981,138.06165340172396,2.8461144289118154,116.53450740924667
559,3.08310897987187,72.49240420463539,0.6658555032959478,2,2.7934486716194673,83.6757218923436,0.7594834817002046,2,3.4996056750069675,107.197332369991,2.7936422125361107,100.21706819608026
560,3.477550787925786,90.3931710784645,0.6727178574705277,2,2.842524423667796,114.37245830112658,0.8252646579734388,2,3.7042021998162955,92.09585898039616,2.8151336950511356,94.0541167498062
561,3.0223321964411234,90.55165298419948,0.5411242098112921,2,2.75638149876272,91.21914105967309,0.637815440920949,2,3.755152385322061,116.66424543351076,3.255630019629563,126.67985197244167
562,3.7185348414119743,90.63084482983648,0.7251149501048877,2,2.8440333285180857,115.25678510149355,0.8079168336117071,2,3.800323138242468,103.72124376325223,3.2705880152720845,162.49842468646267
563,3.2319293510081955,90.37065001835037,0.6433132650596624,2,2.7799340082030017,91.29458262432163,0.7463744175560139,2,3.731081268524926,94.06791957144135,3.1358149305514265,149.02917399549264
564,3.54190718079828,90.59524848248765,0.6594720907603029,2,2.817123318159486,99.6472126415533,0.7301340233745549,2,3.7611013827305255,94.48749825385265,3.4994639104081564,90.39978869978935
565,2.4449750093405744,44.51757514576031,0.4423645920998673,2,2.526932100652503,70.28023482480869,0.4494303152126437,2,2.904202741865761,94.80705442485511,2.9630362291511374,91.47021322597517
566,3.029133307035157,90.67404461746446,0.5909939519608013,2,2.743725958304931,91.27167774000222,0.7044607196913071,2,3.2632977384648707,92.28362530996576,2.795359982642945,107.54051795649204
567,2.809448293178841,90.8845032095973,0.505513072683199,2,2.741407592827166,91.30935293086469,0.6780361544494369,2,3.678600227167315,113.29572648705907,2.794805074395331,110.23168422460961
568,2.4053154744520997,90.43031461175464,0.5916377957840427,2,2.561757468564815,91.2195288902691,0.6242757943800463,2,3.768332872838167,123.42474550082791,2.8232588432287162,117.01658362922221
569,3.148297453971901,90.70176551403434,0.590427854194448,2,2.6901976087821295,91.70865959769056,0.6567243006325928,2,3.6878534250467454,110.06343950501649,2.839987136469942,115.81224740628947
