seed,n,op,wrong,sim
2,16,-,0,0.8999999999999998
2,17,+,0,0.807468991874924
2,17,-,0,0.8499999999999999
2,18,+,0,0.9249999999999998
2,18,-,0,0.9499999999999998
2,19,+,0,0.9316949906249123
2,19,-,0,0.9749999999999999
2,20,+,0,0.9316949906249123
2,20,-,0,0.9749999999999999
2,21,+,0,0.9068497908749147
2,21,-,0,0.9249999999999998
2,22,+,0,0.8624999999999998
2,22,-,0,0.8374999999999998
2,23,+,0,0.8447367914999205
2,23,-,0,0.8499999999999999
2,24,+,0,0.8447367914999205
2,24,-,0,0.9068497908749147
2,25,+,0,0.8499999999999999
2,25,-,0,0.9068497908749147
2,26,+,0,0.8499999999999999
2,26,-,0,0.8695819912499182
2,27,+,0,0.8624999999999998
2,27,-,0,0.8624999999999998
2,28,+,0,0.9249999999999998
2,28,-,0,0.8874999999999998
2,29,+,0,0.9249999999999998
2,29,-,0,0.8874999999999998
2,30,+,0,0.9013032569427504
2,30,-,0,0.9124999999999999
2,31,+,0,0.9013032569427504
2,31,-,0,0.9124999999999999
2,32,+,0,0.8374999999999998
2,32,-,0,0.8749999999999999
2,33,+,0,0.8749999999999999
2,33,-,0,0.8624999999999998
2,34,+,0,0.8944271909999159
2,34,-,0,0.9374999999999999
2,35,+,0,0.9441175904999112
2,35,-,0,0.9374999999999999
2,36,+,0,0.9441175904999112
2,36,-,0,0.9124999999999999
2,37,+,0,0.8874999999999998
2,37,-,0,0.8874999999999998
2,38,+,0,0.8374999999999998
2,38,-,0,0.8624999999999998
2,39,+,0,0.7999999999999998
2,39,-,0,0.8624999999999998
2,40,+,0,0.8999999999999998
2,40,-,0,0.9374999999999999
2,41,+,0,0.9374999999999999
2,41,-,0,0.9374999999999999
2,42,+,0,0.9374999999999999
2,42,-,0,0.9249999999999998
2,43,+,0,0.807468991874924
2,43,-,0,0.8624999999999998
2,44,+,0,0.8323141916249217
2,44,-,0,0.8499999999999999
2,45,+,0,0.8323141916249217
2,45,-,0,0.8624999999999998
2,46,+,0,0.9506172839506173
2,46,-,0,0.9374999999999999
2,47,+,0,0.9506172839506173
2,47,-,0,0.9374999999999999
2,48,+,0,0.8571593913749194
2,48,-,0,0.9124999999999999
2,49,+,0,0.8124999999999999
2,49,-,0,0.8624999999999998
2,50,+,0,0.9124999999999999
2,50,-,0,0.8999999999999998
2,51,+,0,0.9124999999999999
2,51,-,0,0.9249999999999998
2,52,+,0,0.8874999999999998
2,52,-,0,0.9249999999999998
2,53,+,0,0.8874999999999998
2,53,-,0,0.8749999999999999
2,54,+,0,0.8374999999999998
2,54,-,0,0.8499999999999999
2,55,+,0,0.8374999999999998
2,55,-,0,0.8499999999999999
2,56,+,0,0.8249999999999998
2,56,-,0,0.8249999999999998
2,57,+,0,0.9124999999999999
2,57,-,0,0.9374999999999999
2,58,+,0,0.9374999999999999
2,58,-,0,0.9374999999999999
2,59,+,0,0.9374999999999999
2,59,-,0,0.9249999999999998
2,60,+,0,0.9499999999999998
2,60,-,0,0.9749999999999999
2,61,+,0,0.9749999999999999
2,61,-,0,0.9749999999999999
2,62,+,0,0.9749999999999999
2,62,-,0,0.9249999999999998
2,63,+,0,0.7929188092706833
2,63,-,0,0.8624999999999998
2,64,+,0,0.7929188092706833
2,64,-,0,0.7874999999999999
2,65,+,0,0.9532050759983474
2,65,-,0,0.8999999999999998
2,66,+,0,0.9709096621086417
2,66,-,0,0.9624999999999998
2,67,+,0,0.9709096621086417
2,67,-,0,0.9624999999999998
2,68,+,0,0.9518763181059627
2,68,-,0,0.9499999999999998
2,69,+,0,0.9530071308033986
2,69,-,0,0.9499999999999998
2,70,+,0,0.9530071308033986
2,70,-,0,0.9499999999999998
2,71,+,0,0.8193365776101958
2,71,-,0,0.9124999999999999
2,72,+,0,0.8402513962877929
2,72,-,0,0.8124999999999999
2,73,+,0,0.8731282501307986
2,73,-,0,0.8447367914999205
2,74,+,0,0.8731282501307986
2,74,-,0,0.9172518353612243
2,75,+,0,0.8374999999999998
2,75,-,0,0.9172518353612243
2,76,+,0,0.8999999999999998
2,76,-,0,0.9068497908749147
2,77,+,0,0.8999999999999998
2,77,-,0,0.9068497908749147
2,78,+,0,0.9382716049382716
2,78,-,0,0.9374999999999999
2,79,+,0,0.9382716049382716
2,79,-,0,0.9374999999999999
2,80,+,0,0.9326733179802502
2,80,-,0,0.9630363567333498
2,81,+,0,0.9326733179802502
2,81,-,0,0.9630363567333498
3,0,+,0,0.9320589306096471
3,0,-,0,0.9485869158311758
3,1,+,0,0.9320589306096471
3,1,-,0,0.9485869158311758
3,2,+,0,0.9013032569427504
