arm,seed,train,combo,combo_mag,newn,newn_mag,shared_frac
coarse_kc_shared_removed,10,0.6666666666666666,0.0,1.0,0.16666666666666666,0.3333333333333333,0.0
coarse_kc_shared_removed,11,0.6666666666666666,0.0,1.0,0.16666666666666666,0.3333333333333333,0.0
coarse_kc_shared_removed,12,0.6666666666666666,0.0,1.0,0.16666666666666666,0.3333333333333333,0.0
coarse_kc_shared_removed,13,0.6666666666666666,0.0,1.0,0.16666666666666666,0.3333333333333333,0.0
coarse_kc_shared_removed,14,0.6666666666666666,0.0,1.0,0.16666666666666666,0.3333333333333333,0.0
coarse_kc_shared_removed,15,0.6666666666666666,0.0,1.0,0.16666666666666666,0.3333333333333333,0.0
coarse_kc_shared_removed,16,0.6666666666666666,0.0,1.0,0.16666666666666666,0.3333333333333333,0.0
coarse_kc_shared_removed,17,0.6666666666666666,0.0,1.0,0.16666666666666666,0.3333333333333333,0.0
coarse_kc_shared_removed,18,0.6666666666666666,0.0,1.0,0.16666666666666666,0.3333333333333333,0.0
coarse_kc_shared_removed,19,0.6666666666666666,0.0,1.0,0.16666666666666666,0.3333333333333333,0.0
coarse_kc_overlapctl,0,1.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.30138888888888893
coarse_kc_overlapctl,1,1.0,0.0,1.0,0.0,0.16666666666666666,0.25833333333333336
coarse_kc_overlapctl,2,1.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.2805555555555556
coarse_kc_overlapctl,3,1.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.29444444444444445
coarse_kc_overlapctl,4,1.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.2708333333333333
coarse_kc_overlapctl,5,1.0,0.0,1.0,0.0,0.16666666666666666,0.27638888888888885
coarse_kc_overlapctl,6,1.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.25555555555555554
coarse_kc_overlapctl,7,1.0,0.0,1.0,0.0,0.16666666666666666,0.2708333333333333
coarse_kc_overlapctl,8,1.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.2736111111111111
coarse_kc_overlapctl,9,1.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.2805555555555556
coarse_kc_overlapctl,10,1.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.26944444444444443
coarse_kc_overlapctl,11,1.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.2763888888888889
coarse_kc_overlapctl,12,1.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.2416666666666667
coarse_kc_overlapctl,13,1.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.2708333333333333
coarse_kc_overlapctl,14,1.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.2638888888888889
coarse_kc_overlapctl,15,1.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.275
coarse_kc_overlapctl,16,1.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.26666666666666666
coarse_kc_overlapctl,17,1.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.25277777777777777
coarse_kc_overlapctl,18,1.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.2597222222222222
coarse_kc_overlapctl,19,1.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.27222222222222225
thermo,0,1.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.33261037889882
thermo,1,1.0,0.0,0.6666666666666666,0.0,0.0,0.3450053945445324
