arm,seed,split,H,train_H,target_s,n,acc_exact,acc_within2,acc_nominal,pred_mean,pred_slope,stuck,pca_res,sat,active,lam,lam_nom,val_mse,val_acc_nom
A_gercek,9,H_xfer,0,10,6,60,0.03333333333333333,0.06666666666666667,0.0,-1.1836019395539306,,0.85,0.5840695114106044,0.18263692162417375,0.6827195467422096,0.01,0.1,4.104387224548098,0.38
A_gercek,9,H_xfer,20,10,ALL,120,0.24166666666666667,0.725,0.0,0.8066272177825653,0.7107071816761974,0.425,0.47328368729609865,0.26322985520931697,0.6827195467422096,0.01,0.1,4.106027454649754,0.38
A_gercek,9,H_xfer,20,10,-6,60,0.11666666666666667,0.6,0.0,-3.4576158722746166,,0.6166666666666667,0.46625890425407096,0.26322985520931697,0.6827195467422096,0.01,0.1,4.106027454649754,0.38
A_gercek,9,H_xfer,20,10,6,60,0.36666666666666664,0.85,0.0,5.070870307839747,,0.23333333333333334,0.48030847033812657,0.26322985520931697,0.6827195467422096,0.01,0.1,4.106027454649754,0.38
A_gercek,9,P,0,0,ALL,300,0.9066666666666666,0.99,0.3933333333333333,-0.04641274953203054,0.999131064064253,,0.1270445593880222,0.18563896757947748,0.6860245514636449,1e-05,1e-06,0.5174869419573056,0.4
A_gercek,9,P,0,0,-6,43,0.9767441860465116,1.0,0.8372093023255814,-6.024175644571385,,,0.10582655448035776,0.18563896757947748,0.6860245514636449,1e-05,1e-06,0.5174869419573056,0.4
A_gercek,9,P,0,0,-4,45,0.9555555555555556,1.0,0.35555555555555557,-3.9822998067226183,,,0.10821415050489927,0.18563896757947748,0.6860245514636449,1e-05,1e-06,0.5174869419573056,0.4
A_gercek,9,P,0,0,-2,42,0.9285714285714286,1.0,0.19047619047619047,-1.958097968544803,,,0.12026126130813566,0.18563896757947748,0.6860245514636449,1e-05,1e-06,0.5174869419573056,0.4
A_gercek,9,P,0,0,0,42,0.8333333333333334,0.9761904761904762,0.23809523809523808,0.17857191408075343,,,0.1269749665482877,0.18563896757947748,0.6860245514636449,1e-05,1e-06,0.5174869419573056,0.4
A_gercek,9,P,0,0,2,44,0.8409090909090909,0.9545454545454546,0.3409090909090909,2.0462586294268403,,,0.15484252346291297,0.18563896757947748,0.6860245514636449,1e-05,1e-06,0.5174869419573056,0.4
A_gercek,9,P,0,0,4,47,0.9148936170212766,1.0,0.2553191489361702,4.027987463600405,,,0.13630502140599826,0.18563896757947748,0.6860245514636449,1e-05,1e-06,0.5174869419573056,0.4
